,skill,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,source,skills_multi,word_count,tags,primary_tag,ideal_answer_available,bert_score,tfidf_score
0,System Design,Medium,What is AWS Auto Scaling Group?,An Auto Scaling Group is a set of EC2 instances that automatically scale based on traffic or custom rules. Instead of manually adding or removing EC2 instances when traffic changes the ASG automatically adds instances when traffic increases and removes them when traffic decreases. This prevents application crashes from overload and avoids unnecessary costs from idle servers. You set minimum desired and maximum instance counts and scaling policies based on metrics like CPU usage.,An Auto Scaling Group is a set of EC2 instances that automatically scale based on traffic or custom rules. Instead of manually adding or removing EC2 instances when traffic changes the ASG automatically adds instances when traffic increases and removes them when traffic decreases. This prevents application crashes from overload and avoids unnecessary costs from idle servers. You set minimum desired and maximum instance counts and scaling policies based on metrics like CPU usage.,Good,0.91,1.0,0.87,combined,System Design,74,"['architecture', 'scalability']",architecture,1,1.0,1.0
1,System Design,Medium,What is AWS Auto Scaling Group?,An Auto Scaling Group is a set of EC2 instances that automatically scale based on traffic or custom rules. Instead of manually adding or removing EC2 instances when traffic changes the ASG automatically adds instances when traffic increases and removes them when traffic decreases. This prevents application crashes from overload and avoids unnecessary costs from idle servers. You set minimum desired and maximum instance counts and scaling policies based on metrics like CPU usage.,An Auto Scaling Group is a set of EC2 instances that automatically scale based on traffic or custom rules.,Average,0.63,0.38,0.46,combined,System Design,19,"['architecture', 'scalability']",architecture,1,0.9354983568,0.6131451509
2,DBMS,Medium,Explain the differences between SQL and NoSQL databases.,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.,Average,0.65,0.45,0.5,combined,DBMS,18,"['nosql', 'database-design']",nosql,1,1.0,1.0
3,Python,Medium,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.","Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",Good,0.9,1.0,0.85,combined,Python,18,"['python-core', 'syntax']",python-core,1,1.0000001192,1.0
4,HR,Easy,What is an area of weakness you are working on?,Be honest and self aware about a genuine area of improvement. Describe a specific weakness you have identified and the concrete steps you are taking to improve it. Show that you are coachable and actively working on your development. Avoid choosing a weakness that is critical to the role and frame it in a way that shows your commitment to growth and continuous learning.,Be honest and self aware about a genuine area of improvement.,Average,0.62,0.38,0.45,combined,HR,11,"['behavioral', 'soft-skills']",behavioral,1,0.7085821629,0.32914419030000003
5,HR,Easy,What is an area of weakness you are working on?,Be honest and self aware about a genuine area of improvement. Describe a specific weakness you have identified and the concrete steps you are taking to improve it. Show that you are coachable and actively working on your development. Avoid choosing a weakness that is critical to the role and frame it in a way that shows your commitment to growth and continuous learning.,Be honest and self aware about a genuine area of improvement. Describe a specific weakness you have identified and the concrete steps you are taking to improve it. Show that you are coachable and actively working on your development. Avoid choosing a weakness that is critical to the role and frame it in a way that shows your commitment to growth and continuous learning.,Good,0.91,1.0,0.87,combined,HR,64,"['behavioral', 'soft-skills']",behavioral,1,1.0000001192,1.0
6,DBMS,Hard,Describe the ACID properties in database transactions.,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).","ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).",Average,0.65,0.45,0.5,combined,DBMS,14,"['sql', 'relational']",sql,1,1.0000001192,1.0
7,System Design,Medium,Explain virtual DOM and how it works in React.,Virtual DOM is a lightweight copy of the real DOM that React maintains to improve rendering efficiency. When state or props change React creates a new virtual DOM tree and compares it with the previous one using a diffing algorithm. Only the components that have actually changed are updated in the real DOM instead of re-rendering the entire page. This selective rendering significantly improves performance especially in complex applications.,Virtual DOM is a lightweight copy of the real DOM that React maintains to improve rendering efficiency. When state or props change React creates a new virtual DOM tree and compares it with the previous one using a diffing algorithm. Only the components that have actually changed are updated in the real DOM instead of re-rendering the entire page. This selective rendering significantly improves performance especially in complex applications.,Good,0.92,1.0,0.88,combined,System Design,69,"['architecture', 'scalability']",architecture,1,1.0000002384,1.0
8,System Design,Medium,Explain virtual DOM and how it works in React.,Virtual DOM is a lightweight copy of the real DOM that React maintains to improve rendering efficiency. When state or props change React creates a new virtual DOM tree and compares it with the previous one using a diffing algorithm. Only the components that have actually changed are updated in the real DOM instead of re-rendering the entire page. This selective rendering significantly improves performance especially in complex applications.,Virtual DOM is a lightweight copy of the real DOM that React maintains to improve rendering efficiency.,Average,0.63,0.4,0.48,combined,System Design,17,"['architecture', 'scalability']",architecture,1,0.9123834372,0.6382893174000001
9,System Design,Hard,Design a system to manage and process Internet of Things (IoT) data.,"Focus on handling large-scale data influx, real-time processing, data storage, and analytics.","Focus on handling large-scale data influx, real-time processing, data storage, and analytics.",Good,0.9,1.0,0.85,combined,System Design,12,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
