skill,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,source,skills_multi,word_count
System Design,Medium,What is AWS Auto Scaling Group?,An Auto Scaling Group is a set of EC2 instances that automatically scale based on traffic or custom rules. Instead of manually adding or removing EC2 instances when traffic changes the ASG automatically adds instances when traffic increases and removes them when traffic decreases. This prevents application crashes from overload and avoids unnecessary costs from idle servers. You set minimum desired and maximum instance counts and scaling policies based on metrics like CPU usage.,An Auto Scaling Group.,Poor,0.27,0.07,0.11,combined,System Design,4
DBMS,Medium,Explain the differences between SQL and NoSQL databases.,SQL databases use structured query language with a predefined schema; NoSQL databases store schema-less data with flexible models.,SQL databases use structured.,Poor,0.3,0.1,0.15,combined,DBMS,4
OOP,Medium,What is a 'race condition' in software development?,A race condition occurs when the system's behavior depends on the sequence or timing of other uncontrollable events.,A race condition occurs when the system's behavior depends on the sequence or timing of other uncontrollable events.,Average,0.65,0.45,0.5,combined,OOP,18
Python,Medium,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.","Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",Good,0.9,1.0,0.85,combined,Python,18
HR,Easy,What is an area of weakness you are working on?,Be honest and self aware about a genuine area of improvement. Describe a specific weakness you have identified and the concrete steps you are taking to improve it. Show that you are coachable and actively working on your development. Avoid choosing a weakness that is critical to the role and frame it in a way that shows your commitment to growth and continuous learning.,Be honest and self.,Poor,0.27,0.07,0.11,combined,HR,4
OOP,Medium,What is the importance of SEO in web development?,"SEO enhances a website's visibility in search engine results, improving organic traffic and user reach through optimized content and structure.","SEO enhances a website's visibility in search engine results, improving organic traffic and user reach through optimized content and structure.",Good,0.9,1.0,0.85,combined,OOP,20
OOP,Hard,Discuss the role of a package manager like npm or pip.,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.","Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.",Good,0.9,1.0,0.85,combined,OOP,15
DBMS,Hard,Describe the ACID properties in database transactions.,"ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).","ACID: Atomicity (indivisible transactions), Consistency (consistent state transitions), Isolation (independent transactions), Durability (persisted changes).",Average,0.65,0.45,0.5,combined,DBMS,14
System Design,Medium,Explain virtual DOM and how it works in React.,Virtual DOM is a lightweight copy of the real DOM that React maintains to improve rendering efficiency. When state or props change React creates a new virtual DOM tree and compares it with the previous one using a diffing algorithm. Only the components that have actually changed are updated in the real DOM instead of re-rendering the entire page. This selective rendering significantly improves performance especially in complex applications.,Virtual DOM is a.,Poor,0.28,0.08,0.12,combined,System Design,4
OOP,Medium,How does indexing improve database query performance?,"Indexing speeds up data retrieval operations by effectively creating a smaller, faster version of the database table.","Indexing speeds up data retrieval operations by effectively creating a smaller, faster version of the database table.",Good,0.9,1.0,0.85,combined,OOP,17
OOP,Medium,What is callback hell and how can we fix it?,Callback hell is when multiple nested callback functions create code that is difficult to read and maintain resulting in a pyramid of doom structure. It can be fixed using promises which flatten nested callbacks into chained dot then statements with a single catch for error handling. Async and await converts asynchronous code to look synchronous making it more linear and readable. Modularizing code by breaking functions into separate reusable modules also reduces nesting.,Callback hell is when multiple nested callback functions create code that is difficult to read and maintain resulting in a pyramid of doom structure.,Average,0.63,0.4,0.48,combined,OOP,24
System Design,Hard,Design a system to manage and process Internet of Things (IoT) data.,"Focus on handling large-scale data influx, real-time processing, data storage, and analytics.","Focus on handling large-scale data influx, real-time processing, data storage, and analytics.",Good,0.9,1.0,0.85,combined,System Design,12
OOP,Medium,State the difference between local storage and cookies.,Cookies have a limited storage capacity of about 4KB per cookie and are sent with every HTTP request making them accessible from both server and client side. They can have an expiration date and are used for session management and user authentication. Local storage has a larger capacity of approximately 5MB per domain and is only accessible through the client. It remains active until explicitly cleared and is appropriate for larger datasets application state and user preferences.,Cookies have a limited.,Poor,0.28,0.08,0.12,combined,OOP,4
OOP,Medium,Describe the differences between GET and POST requests.,"GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.","GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.",Average,0.65,0.45,0.5,combined,OOP,23
OOP,Medium,Explain the concept of code coverage in testing.,"Code coverage measures the extent of code tested, assessing test thoroughness and identifying untested areas.","Code coverage measures the extent of code tested, assessing test thoroughness and identifying untested areas.",Good,0.9,1.0,0.85,combined,OOP,15
OOP,Medium,State difference between SVG and Canvas.,SVG uses XML based tags to define shapes and is scalable without quality loss. Elements are part of the DOM allowing easy manipulation styling and animation using CSS or JavaScript. Canvas provides a drawing context through JavaScript for immediate mode bitmap graphics. It renders graphics directly onto the canvas without retaining objects making post rendering manipulation difficult and is not inherently scalable without loss of quality.,SVG uses XML based tags to define shapes and is scalable without quality loss.,Average,0.63,0.4,0.48,combined,OOP,14
OOP,Medium,How do NoSQL databases handle data scaling compared to traditional SQL databases?,NoSQL databases are generally more scalable and provide superior performance for large-scale applications due to their flexibility in handling unstructured data.,NoSQL databases are generally.,Poor,0.3,0.1,0.15,combined,OOP,4
OOP,Hard,Describe the process of memoization in programming.,Memoization is an optimization technique used to speed up programs by storing the results of expensive function calls.,Memoization is an optimization technique used to speed up programs by storing the results of expensive function calls.,Average,0.65,0.45,0.5,combined,OOP,18
OOP,Medium,Describe the purpose of a web server like Apache or Nginx.,"Web servers handle HTTP requests, serve content, manage security, routing, and can act as reverse proxies for application servers.",Web servers handle HTTP.,Poor,0.3,0.1,0.15,combined,OOP,4
System Design,Medium,What are AWS regions and availability zones?,An AWS region is a geographical area where AWS has multiple data centers such as Mumbai North Virginia and Singapore. Within each region there are multiple physically separate data centers called availability zones. Multiple availability zones exist within one region so if one data center fails another provides backup ensuring high availability. AWS has 34 geographic regions worldwide and 108 availability zones. Companies choose the region closest to their users for faster response times.,An AWS region is a geographical area where AWS has multiple data centers such as Mumbai North Virginia and Singapore. Within each region there are multiple physically separate data centers called availability zones. Multiple availability zones exist within one region so if one data center fails another provides backup ensuring high availability. AWS has 34 geographic regions worldwide and 108 availability zones. Companies choose the region closest to their users for faster response times.,Good,0.91,1.0,0.87,combined,System Design,74
OOP,Medium,What is the this keyword in JavaScript?,The this keyword in JavaScript refers to the current execution context or the object that is currently executing the code. Its value varies depending on how a function is called. In global context it refers to the global object. In function context it refers to the calling object. In event handlers it refers to the element that triggered the event. In constructor functions it refers to the newly created object.,The this keyword in.,Poor,0.28,0.08,0.12,combined,OOP,4
CN,Hard,Design a secure mobile payment system for developing countries.,"Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.","Focus on security protocols,.",Poor,0.3,0.1,0.15,combined,CN,4
OOP,Medium,Why are closures used in JavaScript?,JavaScript closures are useful because even after the outer function has completed running the inner function keeps access to variables from their containing scope. They close over the variables establishing a scope chain that allows inner functions to access the parameters and variables of the outer function. Closures are useful for encapsulating and preserving variable state.,JavaScript closures are useful because even after the outer function has completed running the inner function keeps access to variables from their containing scope.,Average,0.63,0.4,0.48,combined,OOP,24
OOP,Hard,Explain the SOLID principles in software engineering.,"SOLID stands for Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion principles, guiding towards more maintainable, understandable, and flexible software.","SOLID stands for Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion principles, guiding towards more maintainable, understandable, and flexible software.",Average,0.65,0.45,0.5,combined,OOP,22
System Design,Hard,Design a distributed key-value store.,"Focus on data partitioning, replication for fault tolerance, consistency models, and handling node failures.","Focus on data partitioning, replication for fault tolerance, consistency models, and handling node failures.",Average,0.65,0.45,0.5,combined,System Design,14
System Design,Hard,Design a cloud-based virtual desktop infrastructure.,"Address virtualization technologies, resource allocation, security, and remote access protocols.","Address virtualization technologies, resource allocation, security, and remote access protocols.",Good,0.9,1.0,0.85,combined,System Design,10
System Design,Medium,What is an Ansible Playbook?,"An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers. It specifies which servers to target using hosts, what tasks to run like installing packages or copying files, and in what order. Playbooks enable automation of repetitive configuration tasks across multiple servers simultaneously without SSH-ing into each server manually. They are idempotent meaning running them multiple times produces the same result.",An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers.,Average,0.63,0.38,0.46,combined,System Design,21
System Design,Medium,Describe the concept of microservices architecture.,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.",Microservices architecture consists of.,Poor,0.3,0.1,0.15,combined,System Design,4
OOP,Medium,What is Context API and how is it different from props?,Context API allows sharing state and data across components without passing props down manually at every level avoiding prop drilling. Props explicitly pass data from parent to child through the component hierarchy making components tightly coupled to their parents. Context API allows any component to access global state directly using useContext making components more reusable and independent. Context API requires setup of providers and consumers but keeps code cleaner.,Context API allows sharing state and data across components without passing props down manually at every level avoiding prop drilling. Props explicitly pass data from parent to child through the component hierarchy making components tightly coupled to their parents. Context API allows any component to access global state directly using useContext making components more reusable and independent. Context API requires setup of providers and consumers but keeps code cleaner.,Good,0.92,1.0,0.88,combined,OOP,69
System Design,Easy,Explain the concept of CAP theorem in distributed systems.,"The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.","The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.",Good,0.9,1.0,0.85,combined,System Design,21
OOP,Medium,Explain the role of Git branching strategies like GitFlow.,"GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development.","GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development.",Good,0.9,1.0,0.85,combined,OOP,16
OOP,Medium,What is use strict in JavaScript?,Use strict enforces stricter parsing and error handling in JavaScript code helping to catch common mistakes prevent certain actions that could lead to bugs and make code more predictable. It prevents variables from becoming accidental global variables when declared without var let or const. Without use strict undeclared variables inside functions become global variables which can cause unexpected behavior in other parts of the code.,Use strict enforces stricter.,Poor,0.28,0.08,0.12,combined,OOP,4
OOP,Medium,Describe the MVC architecture.,"MVC architecture stands for Model-View-Controller, separating the application into three interconnected components.","MVC architecture stands for Model-View-Controller, separating the application into three interconnected components.",Good,0.9,1.0,0.85,combined,OOP,12
OOP,Easy,What is the difference between Django templates and React for frontend?,Django templates are HTML and CSS files stored in the templates folder and are rendered server side by the Django backend. React is a separate frontend JavaScript framework that runs on the client side. When using both together Django backend exposes REST API endpoints that return JSON data and React consumes that JSON to render the UI. The React files are kept separately and communicate with Django through API calls.,Django templates are HTML.,Poor,0.27,0.07,0.11,combined,OOP,4
OOP,Medium,What is the importance of SEO in web development?,"SEO enhances a website's visibility in search engine results, improving organic traffic and user reach through optimized content and structure.",SEO enhances a website's.,Poor,0.3,0.1,0.15,combined,OOP,4
OOP,Medium,What is State Management in React?,State management involves controlling the flow and handling of data within a React app to ensure the UI responds correctly to user inputs. Component state uses useState and useEffect hooks for local state. Props drilling passes data from parent to child through multiple component levels. Context API provides global state management accessible to any component without prop drilling. State management libraries like Redux centralize all state in a single global store.,State management involves controlling.,Poor,0.28,0.08,0.12,combined,OOP,4
System Design,Medium,Explain asynchronous and non-blocking programming in Node.js.,Asynchronous programming allows code to start a task and move on to the next without waiting for the previous task to finish. Tasks happen in the background and notify when done without blocking other operations. Non-blocking programming ensures that no task waits or holds up the system. In Node.js asynchronous refers to the timing of tasks while non-blocking refers to the behavior of code ensuring no operation blocks the execution thread.,Asynchronous programming allows code to start a task and move on to the next without waiting for the previous task to finish. Tasks happen in the background and notify when done without blocking other operations. Non-blocking programming ensures that no task waits or holds up the system. In Node.js asynchronous refers to the timing of tasks while non-blocking refers to the behavior of code ensuring no operation blocks the execution thread.,Good,0.92,1.0,0.88,combined,System Design,71
HR,Easy,What are your career goals?,Share your genuine career aspirations honestly and specifically. Mention the type of work you are excited about such as frontend or backend development or moving into a technical lead or management track. Explain how this role and company align with your goals. Showing that your career direction maps to the company's opportunities demonstrates that you are a good long term fit.,Share your genuine career aspirations honestly and specifically.,Average,0.62,0.38,0.45,combined,HR,8
CN,Hard,Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Least privilege limits access.,Poor,0.3,0.1,0.15,combined,CN,4
CN,Medium,What is Amazon Route 53?,Route 53 is a DNS-based traffic routing service that translates human readable domain names into IP addresses. It distributes user requests across AWS regions based on rules like user location and latency. When users from India access a website Route 53 redirects them to the nearest Mumbai region server while users from USA go to the nearest US region. It also handles failover by redirecting traffic to healthy regions if one region goes down. Route 53 is a global service not region specific.,Route 53 is a DNS-based traffic routing service that translates human readable domain names into IP addresses.,Average,0.63,0.38,0.46,combined,CN,17
System Design,Hard,Design and implement a large-scale distributed cache system.,"Consider consistency, data partitioning, eviction policies, and fault tolerance in distributed caching.","Consider consistency, data partitioning, eviction policies, and fault tolerance in distributed caching.",Average,0.65,0.45,0.5,combined,System Design,12
CN,Medium,"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.",Good,0.9,1.0,0.85,combined,CN,16
System Design,Medium,What is an Ansible Playbook?,"An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers. It specifies which servers to target using hosts, what tasks to run like installing packages or copying files, and in what order. Playbooks enable automation of repetitive configuration tasks across multiple servers simultaneously without SSH-ing into each server manually. They are idempotent meaning running them multiple times produces the same result.",An Ansible Playbook is.,Poor,0.27,0.07,0.11,combined,System Design,4
