skill,sub_domain,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,word_count,source
Python,python_core,Medium,What is a Python decorator and how do you use it?,"A decorator is a function that wraps another function to extend or modify its behaviour without changing its source code. You apply it with the @ syntax above the function definition. Decorators are commonly used for logging, authentication, caching, and timing. They rely on Python's first-class functions: the decorator receives the target function, defines a wrapper, and returns it.","A decorator is a higher-order function that takes a function as input and returns a modified version. Using @my_decorator above a function is syntactic sugar for func = my_decorator(func). Common use cases include logging, access control, and memoisation. The functools.wraps helper preserves the wrapped function's metadata.",Good,0.2888,0.7797,0.44,46,curated_v3
Python,python_core,Medium,What is a Python decorator and how do you use it?,"A decorator is a function that wraps another function to extend or modify its behaviour without changing its source code. You apply it with the @ syntax above the function definition. Decorators are commonly used for logging, authentication, caching, and timing. They rely on Python's first-class functions: the decorator receives the target function, defines a wrapper, and returns it.",A decorator is something you put above a function with @ to add extra behaviour. For example @staticmethod or @property are built-in decorators. You can write your own by defining a function that takes another function and returns a new one with extra logic inside.,Average,0.3147,0.7627,0.45,45,curated_v3
Python,python_core,Medium,What is a Python decorator and how do you use it?,"A decorator is a function that wraps another function to extend or modify its behaviour without changing its source code. You apply it with the @ syntax above the function definition. Decorators are commonly used for logging, authentication, caching, and timing. They rely on Python's first-class functions: the decorator receives the target function, defines a wrapper, and returns it.",Decorators are special symbols in Python that change how a function works. You use @ before the function name. They are mostly used in frameworks like Django and Flask to mark routes or login-required views.,Poor,0.2197,0.5932,0.33,35,curated_v3
Python,python_core,Easy,Explain the difference between lists and tuples in Python.,Lists are mutable ordered sequences defined with square brackets; tuples are immutable ordered sequences defined with parentheses. Because tuples are immutable they are hashable and can be used as dictionary keys or set members. Tuples are generally faster to iterate and use less memory. Use a list when you need to modify the collection; use a tuple when the data should not change.,"Lists can be changed after creation (append, remove, sort) while tuples cannot. Tuples use parentheses and lists use brackets. Tuples are slightly faster and can be dictionary keys. Both support indexing and slicing. A tuple is good for representing a fixed record like a coordinate (x, y).",Good,0.3414,0.746,0.46,47,curated_v3
Python,python_core,Easy,Explain the difference between lists and tuples in Python.,Lists are mutable ordered sequences defined with square brackets; tuples are immutable ordered sequences defined with parentheses. Because tuples are immutable they are hashable and can be used as dictionary keys or set members. Tuples are generally faster to iterate and use less memory. Use a list when you need to modify the collection; use a tuple when the data should not change.,Lists use [] and can be modified. Tuples use () and cannot be changed. Tuples are faster. You should use tuples when data won't change and lists when it might.,Average,0.438,0.4762,0.45,30,curated_v3
Python,python_core,Easy,Explain the difference between lists and tuples in Python.,Lists are mutable ordered sequences defined with square brackets; tuples are immutable ordered sequences defined with parentheses. Because tuples are immutable they are hashable and can be used as dictionary keys or set members. Tuples are generally faster to iterate and use less memory. Use a list when you need to modify the collection; use a tuple when the data should not change.,Lists and tuples both store multiple items. The main difference is you can add or remove items from a list but not a tuple. Tuples are made with round brackets.,Poor,0.1853,0.4762,0.27,30,curated_v3
Python,python_core,Hard,What is the GIL in CPython and what are its implications?,"The Global Interpreter Lock is a mutex in CPython that allows only one thread to execute Python bytecode at a time. It simplifies memory management by protecting reference counts, but it means CPU-bound multi-threaded Python programs cannot truly run in parallel on multiple cores. I/O-bound tasks can still benefit from threads because the GIL is released during I/O waits. For CPU-bound parallelism, multiprocessing or C extensions that release the GIL (like NumPy) are preferred.",The GIL prevents multiple threads from running Python bytecode simultaneously in CPython. This protects internal data structures but limits parallelism for CPU-heavy work. Threads still help for I/O-bound code since the GIL is released when waiting on I/O. To bypass it use the multiprocessing module which spawns separate processes each with their own GIL.,Good,0.2914,0.7297,0.42,54,curated_v3
Python,python_core,Hard,What is the GIL in CPython and what are its implications?,"The Global Interpreter Lock is a mutex in CPython that allows only one thread to execute Python bytecode at a time. It simplifies memory management by protecting reference counts, but it means CPU-bound multi-threaded Python programs cannot truly run in parallel on multiple cores. I/O-bound tasks can still benefit from threads because the GIL is released during I/O waits. For CPU-bound parallelism, multiprocessing or C extensions that release the GIL (like NumPy) are preferred.",The GIL is a lock in Python that stops multiple threads from running at the same time. It means Python threads don't truly run in parallel. You can use multiprocessing instead if you need parallel execution.,Average,0.2953,0.4865,0.35,36,curated_v3
Python,python_core,Hard,What is the GIL in CPython and what are its implications?,"The Global Interpreter Lock is a mutex in CPython that allows only one thread to execute Python bytecode at a time. It simplifies memory management by protecting reference counts, but it means CPU-bound multi-threaded Python programs cannot truly run in parallel on multiple cores. I/O-bound tasks can still benefit from threads because the GIL is released during I/O waits. For CPU-bound parallelism, multiprocessing or C extensions that release the GIL (like NumPy) are preferred.",GIL stands for Global Interpreter Lock. It is something inside Python that causes issues with threads. Most people just use multiprocessing to avoid it.,Poor,0.1867,0.3243,0.23,24,curated_v3
Python,python_core,Hard,How does Python's memory management work?,"CPython uses reference counting as the primary memory management strategy: every object tracks how many references point to it, and when the count drops to zero the memory is immediately freed. To handle reference cycles (A → B → A), CPython also runs a cyclic garbage collector. Memory is allocated from private heaps managed by CPython's allocator, with small objects pooled for efficiency. The gc module exposes the cyclic collector and lets you trigger or tune collection.","Python uses reference counting so objects are freed when nothing points to them. Cyclic references are handled by a separate garbage collector accessible via the gc module. Small objects are pooled in arenas to reduce allocation overhead. Developers rarely manage memory manually but can use __del__, weakref, or explicit gc.collect() when needed.",Good,0.2823,0.6753,0.4,52,curated_v3
